province,male,agegroup,income,education,n,cell_prop_of_division_total
New Brunswick,0,ages18to24,"$100,000 to $ 124,999",Some College,0,0
New Brunswick,0,ages18to24,"$100,000 to $ 124,999",Some University,0,0
New Brunswick,0,ages18to24,"$100,000 to $ 124,999",Bachelor's Degree,0,0
New Brunswick,0,ages18to24,"$100,000 to $ 124,999",Degree above Bachelor's,0,0
New Brunswick,0,ages18to24,"$125,000 and more",No Highschool,0,0
New Brunswick,0,ages18to24,"$125,000 and more",Completed Highschool,0,0
New Brunswick,0,ages18to24,"$125,000 and more",Some College,0,0
New Brunswick,0,ages18to24,"$125,000 and more",Some University,0,0
New Brunswick,0,ages18to24,"$125,000 and more",Bachelor's Degree,0,0
New Brunswick,0,ages18to24,"$125,000 and more",Degree above Bachelor's,0,0
New Brunswick,1,ages18to24,"Less than $25,000",No Highschool,1,0.00077399380804953565
New Brunswick,1,ages18to24,"Less than $25,000",Completed Highschool,9,0.00696594427244582
New Brunswick,1,ages18to24,"Less than $25,000",Some College,4,0.0030959752321981426
New Brunswick,1,ages18to24,"Less than $25,000",Some University,0,0
New Brunswick,1,ages18to24,"Less than $25,000",Bachelor's Degree,3,0.0023219814241486067
New Brunswick,1,ages18to24,"Less than $25,000",Degree above Bachelor's,0,0
New Brunswick,1,ages18to24,"$25,000 to $49,999",No Highschool,2,0.0015479876160990713
New Brunswick,1,ages18to24,"$25,000 to $49,999",Completed Highschool,3,0.0023219814241486067
New Brunswick,1,ages18to24,"$25,000 to $49,999",Some College,1,0.00077399380804953565
New Brunswick,1,ages18to24,"$25,000 to $49,999",Some University,0,0
New Brunswick,1,ages18to24,"$25,000 to $49,999",Bachelor's Degree,1,0.00077399380804953565
New Brunswick,1,ages18to24,"$25,000 to $49,999",Degree above Bachelor's,0,0
New Brunswick,1,ages18to24,"$50,000 to $74,999",No Highschool,0,0
New Brunswick,1,ages18to24,"$50,000 to $74,999",Completed Highschool,1,0.00077399380804953565
New Brunswick,1,ages18to24,"$50,000 to $74,999",Some College,1,0.00077399380804953565
New Brunswick,1,ages18to24,"$50,000 to $74,999",Some University,0,0
New Brunswick,1,ages18to24,"$50,000 to $74,999",Bachelor's Degree,0,0
New Brunswick,1,ages18to24,"$50,000 to $74,999",Degree above Bachelor's,0,0
New Brunswick,1,ages18to24,"$75,000 to $99,999",No Highschool,0,0
New Brunswick,1,ages18to24,"$75,000 to $99,999",Completed Highschool,0,0
New Brunswick,1,ages18to24,"$75,000 to $99,999",Some College,0,0
New Brunswick,1,ages18to24,"$75,000 to $99,999",Some University,0,0
New Brunswick,1,ages18to24,"$75,000 to $99,999",Bachelor's Degree,0,0
New Brunswick,1,ages18to24,"$75,000 to $99,999",Degree above Bachelor's,0,0
New Brunswick,1,ages18to24,"$100,000 to $ 124,999",No Highschool,0,0
New Brunswick,1,ages18to24,"$100,000 to $ 124,999",Completed Highschool,0,0
New Brunswick,1,ages18to24,"$100,000 to $ 124,999",Some College,0,0
New Brunswick,1,ages18to24,"$100,000 to $ 124,999",Some University,0,0
New Brunswick,1,ages18to24,"$100,000 to $ 124,999",Bachelor's Degree,0,0
New Brunswick,1,ages18to24,"$100,000 to $ 124,999",Degree above Bachelor's,0,0
New Brunswick,1,ages18to24,"$125,000 and more",No Highschool,0,0
New Brunswick,1,ages18to24,"$125,000 and more",Completed Highschool,0,0
New Brunswick,1,ages18to24,"$125,000 and more",Some College,0,0
New Brunswick,1,ages18to24,"$125,000 and more",Some University,0,0
New Brunswick,1,ages18to24,"$125,000 and more",Bachelor's Degree,0,0
New Brunswick,1,ages18to24,"$125,000 and more",Degree above Bachelor's,0,0
Newfoundland and Labrador,0,ages18to24,"Less than $25,000",No Highschool,2,0.0018975332068311196
Newfoundland and Labrador,0,ages18to24,"Less than $25,000",Completed Highschool,13,0.012333965844402278
Newfoundland and Labrador,0,ages18to24,"Less than $25,000",Some College,7,0.006641366223908918
Newfoundland and Labrador,0,ages18to24,"Less than $25,000",Some University,1,9.487666034155598e-4
Newfoundland and Labrador,0,ages18to24,"Less than $25,000",Bachelor's Degree,4,0.003795066413662239
Newfoundland and Labrador,0,ages18to24,"Less than $25,000",Degree above Bachelor's,0,0
Newfoundland and Labrador,0,ages18to24,"$25,000 to $49,999",No Highschool,0,0
Newfoundland and Labrador,0,ages18to24,"$25,000 to $49,999",Completed Highschool,1,9.487666034155598e-4
Newfoundland and Labrador,0,ages18to24,"$25,000 to $49,999",Some College,1,9.487666034155598e-4
Newfoundland and Labrador,0,ages18to24,"$25,000 to $49,999",Some University,0,0
Newfoundland and Labrador,0,ages18to24,"$25,000 to $49,999",Bachelor's Degree,1,9.487666034155598e-4
Newfoundland and Labrador,0,ages18to24,"$25,000 to $49,999",Degree above Bachelor's,0,0
Newfoundland and Labrador,0,ages18to24,"$50,000 to $74,999",No Highschool,0,0
Newfoundland and Labrador,0,ages18to24,"$50,000 to $74,999",Completed Highschool,0,0
Newfoundland and Labrador,0,ages18to24,"$50,000 to $74,999",Some College,0,0
Newfoundland and Labrador,0,ages18to24,"$50,000 to $74,999",Some University,0,0
Newfoundland and Labrador,0,ages18to24,"$50,000 to $74,999",Bachelor's Degree,0,0
Newfoundland and Labrador,0,ages18to24,"$50,000 to $74,999",Degree above Bachelor's,0,0
Newfoundland and Labrador,0,ages18to24,"$75,000 to $99,999",No Highschool,0,0
Newfoundland and Labrador,0,ages18to24,"$75,000 to $99,999",Completed Highschool,0,0
Newfoundland and Labrador,0,ages18to24,"$75,000 to $99,999",Some College,0,0
Newfoundland and Labrador,0,ages18to24,"$75,000 to $99,999",Some University,0,0
Newfoundland and Labrador,0,ages18to24,"$75,000 to $99,999",Bachelor's Degree,0,0
Newfoundland and Labrador,0,ages18to24,"$75,000 to $99,999",Degree above Bachelor's,0,0
Newfoundland and Labrador,0,ages18to24,"$100,000 to $ 124,999",No Highschool,0,0
Newfoundland and Labrador,0,ages18to24,"$100,000 to $ 124,999",Completed Highschool,0,0
Newfoundland and Labrador,0,ages18to24,"$100,000 to $ 124,999",Some College,0,0
Newfoundland and Labrador,0,ages18to24,"$100,000 to $ 124,999",Some University,0,0
Newfoundland and Labrador,0,ages18to24,"$100,000 to $ 124,999",Bachelor's Degree,0,0
Newfoundland and Labrador,0,ages18to24,"$100,000 to $ 124,999",Degree above Bachelor's,0,0
Newfoundland and Labrador,0,ages18to24,"$125,000 and more",No Highschool,0,0
Newfoundland and Labrador,0,ages18to24,"$125,000 and more",Completed Highschool,0,0
Newfoundland and Labrador,0,ages18to24,"$125,000 and more",Some College,0,0
Newfoundland and Labrador,0,ages18to24,"$125,000 and more",Some University,0,0
Newfoundland and Labrador,0,ages18to24,"$125,000 and more",Bachelor's Degree,0,0
Newfoundland and Labrador,0,ages18to24,"$125,000 and more",Degree above Bachelor's,0,0
Newfoundland and Labrador,1,ages18to24,"Less than $25,000",No Highschool,2,0.0018975332068311196
Newfoundland and Labrador,1,ages18to24,"Less than $25,000",Completed Highschool,8,0.007590132827324478
Newfoundland and Labrador,1,ages18to24,"Less than $25,000",Some College,1,9.487666034155598e-4
Newfoundland and Labrador,1,ages18to24,"Less than $25,000",Some University,0,0
Newfoundland and Labrador,1,ages18to24,"Less than $25,000",Bachelor's Degree,3,0.0028462998102466793
Newfoundland and Labrador,1,ages18to24,"Less than $25,000",Degree above Bachelor's,0,0
Newfoundland and Labrador,1,ages18to24,"$25,000 to $49,999",No Highschool,0,0
Newfoundland and Labrador,1,ages18to24,"$25,000 to $49,999",Completed Highschool,2,0.0018975332068311196
Newfoundland and Labrador,1,ages18to24,"$25,000 to $49,999",Some College,1,9.487666034155598e-4
Newfoundland and Labrador,1,ages18to24,"$25,000 to $49,999",Some University,0,0
Newfoundland and Labrador,1,ages18to24,"$25,000 to $49,999",Bachelor's Degree,0,0
Newfoundland and Labrador,1,ages18to24,"$25,000 to $49,999",Degree above Bachelor's,0,0
Newfoundland and Labrador,1,ages18to24,"$50,000 to $74,999",No Highschool,0,0
Newfoundland and Labrador,1,ages18to24,"$50,000 to $74,999",Completed Highschool,2,0.0018975332068311196
Newfoundland and Labrador,1,ages18to24,"$50,000 to $74,999",Some College,2,0.0018975332068311196
Newfoundland and Labrador,1,ages18to24,"$50,000 to $74,999",Some University,0,0
Newfoundland and Labrador,1,ages18to24,"$50,000 to $74,999",Bachelor's Degree,0,0
Newfoundland and Labrador,1,ages18to24,"$50,000 to $74,999",Degree above Bachelor's,0,0
Newfoundland and Labrador,1,ages18to24,"$75,000 to $99,999",No Highschool,0,0
Newfoundland and Labrador,1,ages18to24,"$75,000 to $99,999",Completed Highschool,0,0
Newfoundland and Labrador,1,ages18to24,"$75,000 to $99,999",Some College,0,0
Newfoundland and Labrador,1,ages18to24,"$75,000 to $99,999",Some University,0,0
Newfoundland and Labrador,1,ages18to24,"$75,000 to $99,999",Bachelor's Degree,0,0
